Ready to analyze /home/fais/data/app/sd/sensors.dat ...
Statistics:
* total number of keys: 77578
* number of different dif_keys: 52
* distribution: 
key 44 appeared 2.01475% of times.
key 45 appeared 2.92222% of times.
key 46 appeared 2.76109% of times.
key 47 appeared 2.69922% of times.
key 48 appeared 2.94284% of times.
key 49 appeared 1.10212% of times.
key 50 appeared 1.61644% of times.
key 51 appeared 2.21197% of times.
key 52 appeared 1.67573% of times.
key 53 appeared 1.49785% of times.
key 10 appeared 2.20294% of times.
key 54 appeared 1.49269% of times.
key 11 appeared 2.20552% of times.
key 12 appeared 1.1279% of times.
key 13 appeared 1.19879% of times.
key 14 appeared 1.73116% of times.
key 15 appeared 0.63936% of times.
key 16 appeared 1.78272% of times.
key 17 appeared 1.66413% of times.
key 18 appeared 2.78816% of times.
key 19 appeared 1.58421% of times.
key 1 appeared 1.5623% of times.
key 2 appeared 1.32641% of times.
key 3 appeared 1.91034% of times.
key 4 appeared 2.30349% of times.
key 6 appeared 1.33672% of times.
key 7 appeared 2.79074% of times.
key 8 appeared 1.96705% of times.
key 9 appeared 2.18619% of times.
key 20 appeared 2.46462% of times.
key 21 appeared 2.86293% of times.
key 22 appeared 2.91191% of times.
key 23 appeared 2.81523% of times.
key 24 appeared 2.53293% of times.
key 25 appeared 2.20939% of times.
key 26 appeared 2.12431% of times.
key 27 appeared 1.30192% of times.
key 29 appeared 1.93225% of times.
key 30 appeared 1.40504% of times.
key 31 appeared 2.46591% of times.
key 32 appeared 0.98353% of times.
key 33 appeared 1.20008% of times.
key 34 appeared 1.1511% of times.
key 35 appeared 1.64737% of times.
key 36 appeared 1.48882% of times.
key 37 appeared 1.66155% of times.
key 38 appeared 2.04182% of times.
key 39 appeared 1.2568% of times.
key 40 appeared 2.1733% of times.
key 41 appeared 2.14107% of times.
key 42 appeared 2.19521% of times.
key 43 appeared 1.78788% of times.

