RoadID keys statistics:
* total number of keys: 1098
* number of different keys: 523
* distribution: 
key 105145927 appeared 0.09107% of times.
key 240773725 appeared 0.09107% of times.
key 234405375 appeared 0.09107% of times.
key 30212551 appeared 0.09107% of times.
key 105145935 appeared 1.45719% of times.
key 114638555 appeared 0.09107% of times.
key 42360457 appeared 0.18215% of times.
key 105145931 appeared 0.09107% of times.
key 121988948 appeared 0.09107% of times.
key 146581678 appeared 0.09107% of times.
key 111498934 appeared 0.18215% of times.
key 121903955 appeared 0.09107% of times.
key 105145949 appeared 0.09107% of times.
key 11315378 appeared 0.09107% of times.
key 172428902 appeared 0.09107% of times.
key 105145958 appeared 1.73042% of times.
key 169715263 appeared 0.09107% of times.
key 105145959 appeared 0.18215% of times.
key 172813935 appeared 0.09107% of times.
key 114638578 appeared 0.09107% of times.
key 105145960 appeared 0.18215% of times.
key 184540883 appeared 0.09107% of times.
key 169715248 appeared 0.09107% of times.
key 152445241 appeared 0.09107% of times.
key 60495796 appeared 2.91439% of times.
key 163057032 appeared 0.09107% of times.
key 32881095 appeared 0.3643% of times.
key 173394534 appeared 0.09107% of times.
key 220906782 appeared 0.09107% of times.
key 32881090 appeared 0.18215% of times.
key 32881101 appeared 0.09107% of times.
key 41656898 appeared 0.54645% of times.
key 150525123 appeared 0.27322% of times.
key 150595778 appeared 0.09107% of times.
key 163057028 appeared 0.18215% of times.
key 239167101 appeared 0.09107% of times.
key 240894490 appeared 0.09107% of times.
key 42746575 appeared 0.45537% of times.
key 150525116 appeared 0.09107% of times.
key 60110800 appeared 0.09107% of times.
key 42746560 appeared 0.3643% of times.
key 174509610 appeared 0.09107% of times.
key 172426762 appeared 0.09107% of times.
key 174509611 appeared 0.09107% of times.
key 219661658 appeared 2.91439% of times.
key 121067365 appeared 0.63752% of times.
key 154084733 appeared 0.45537% of times.
key 125621039 appeared 0.63752% of times.
key 154084731 appeared 0.3643% of times.
key 154084728 appeared 0.09107% of times.
key 154084727 appeared 0.18215% of times.
key 121399140 appeared 0.09107% of times.
key 256917258 appeared 0.09107% of times.
key 164910478 appeared 0.09107% of times.
key 154084724 appeared 0.18215% of times.
key 169715270 appeared 0.09107% of times.
key 237950578 appeared 0.09107% of times.
key 154084723 appeared 0.09107% of times.
key 154084722 appeared 0.27322% of times.
key 121067369 appeared 0.45537% of times.
key 29421985 appeared 0.09107% of times.
key 145286347 appeared 0.09107% of times.
key 174669337 appeared 0.09107% of times.
key 169447019 appeared 0.09107% of times.
key 209725682 appeared 0.09107% of times.
key 30212543 appeared 0.09107% of times.
key 120496989 appeared 0.09107% of times.
key 151938429 appeared 0.18215% of times.
key 161701328 appeared 0.18215% of times.
key 105145919 appeared 0.09107% of times.
key 175226609 appeared 0.18215% of times.
key 127024918 appeared 0.18215% of times.
key 171981510 appeared 0.09107% of times.
key 121651142 appeared 0.09107% of times.
key 194266899 appeared 0.09107% of times.
key 42489345 appeared 0.09107% of times.
key 121399221 appeared 0.09107% of times.
key 42489346 appeared 0.3643% of times.
key 121399219 appeared 0.09107% of times.
key 229616928 appeared 0.09107% of times.
key 227668227 appeared 0.27322% of times.
key 26295556 appeared 0.18215% of times.
key 121399204 appeared 0.18215% of times.
key 121399206 appeared 0.27322% of times.
key 33681053 appeared 0.09107% of times.
key 202907835 appeared 0.09107% of times.
key 169212592 appeared 0.09107% of times.
key 173221620 appeared 0.09107% of times.
key 165174640 appeared 0.09107% of times.
key 144919561 appeared 0.09107% of times.
key 187027337 appeared 0.18215% of times.
key 150589514 appeared 0.09107% of times.
key 42661437 appeared 0.09107% of times.
key 165174627 appeared 0.09107% of times.
key 84514229 appeared 0.18215% of times.
key 165174629 appeared 0.09107% of times.
key 9779240 appeared 0.09107% of times.
key 154117612 appeared 0.09107% of times.
key 9853022 appeared 0.09107% of times.
key 131710737 appeared 0.09107% of times.
key 154106341 appeared 0.09107% of times.
key 175421119 appeared 0.09107% of times.
key 164439296 appeared 0.18215% of times.
key 26289500 appeared 0.09107% of times.
key 161687917 appeared 0.09107% of times.
key 138690698 appeared 0.09107% of times.
key 164439298 appeared 0.18215% of times.
key 187844583 appeared 0.09107% of times.
key 120497144 appeared 0.09107% of times.
key 121399275 appeared 0.09107% of times.
key 28927333 appeared 0.09107% of times.
key 154117618 appeared 0.09107% of times.
key 154117616 appeared 0.09107% of times.
key 171981477 appeared 0.18215% of times.
key 33911522 appeared 0.09107% of times.
key 171981480 appeared 0.09107% of times.
key 171981481 appeared 0.18215% of times.
key 126906236 appeared 0.09107% of times.
